,행정구역,,2023년03월_계_총인구수,2023년03월_계_연령구간인구수,2023년03월_계_0~9세,2023년03월_계_10~19세,2023년03월_계_20~29세,2023년03월_계_30~39세,2023년03월_계_40~49세,2023년03월_계_50~59세,2023년03월_계_60~69세,2023년03월_계_70~79세,2023년03월_계_80~89세,2023년03월_계_90~99세,2023년03월_계_100세 이상,2023년03월_남_총인구수,2023년03월_남_연령구간인구수,2023년03월_남_0~9세,2023년03월_남_10~19세,2023년03월_남_20~29세,2023년03월_남_30~39세,2023년03월_남_40~49세,2023년03월_남_50~59세,2023년03월_남_60~69세,2023년03월_남_70~79세,2023년03월_남_80~89세,2023년03월_남_90~99세,2023년03월_남_100세 이상,2023년03월_여_총인구수,2023년03월_여_연령구간인구수,2023년03월_여_0~9세,2023년03월_여_10~19세,2023년03월_여_20~29세,2023년03월_여_30~39세,2023년03월_여_40~49세,2023년03월_여_50~59세,2023년03월_여_60~69세,2023년03월_여_70~79세,2023년03월_여_80~89세,2023년03월_여_90~99세,2023년03월_여_100세 이상
1,강원도,강릉시,"210,678","210,678","11,947","17,758","23,413","20,445","30,579","36,176","36,777","20,353","11,384","1,789",57,"104,419","104,419","6,197","9,322","12,869","10,899","15,431","18,413","17,591","9,154","4,161",373,9,"106,259","106,259","5,750","8,436","10,544","9,546","15,148","17,763","19,186","11,199","7,223","1,416",48
2,강원도,고성군,"27,155","27,155","1,271","1,591","2,539","2,286","2,994","4,684","5,886","3,434","2,136",322,12,"13,992","13,992",641,862,"1,607","1,285","1,642","2,580","3,017","1,536",740,76,6,"13,163","13,163",630,729,932,"1,001","1,352","2,104","2,869","1,898","1,396",246,6
3,강원도,동해시,"89,186","89,186","5,758","8,349","8,760","8,323","13,793","15,644","15,214","8,294","4,438",601,12,"45,323","45,323","2,945","4,375","5,129","4,528","7,157","8,203","7,400","3,795","1,669",119,3,"43,863","43,863","2,813","3,974","3,631","3,795","6,636","7,441","7,814","4,499","2,769",482,9
4,강원도,삼척시,"63,487","63,487","3,341","5,212","6,682","5,033","8,161","10,678","12,161","7,129","4,368",704,18,"32,220","32,220","1,693","2,712","3,774","2,731","4,396","5,874","6,165","3,285","1,447",143,0,"31,267","31,267","1,648","2,500","2,908","2,302","3,765","4,804","5,996","3,844","2,921",561,18
5,강원도,속초시,"82,541","82,541","5,340","6,919","8,468","9,074","11,931","14,961","14,500","7,026","3,699",609,14,"40,885","40,885","2,722","3,557","4,770","4,974","5,930","7,376","7,011","3,074","1,351",115,5,"41,656","41,656","2,618","3,362","3,698","4,100","6,001","7,585","7,489","3,952","2,348",494,9
6,강원도,양구군,"21,351","21,351","1,537","1,913","2,567","2,363","2,408","3,263","3,867","1,907","1,336",185,5,"11,213","11,213",764,956,"1,674","1,338","1,286","1,737","2,067",877,468,43,3,"10,138","10,138",773,957,893,"1,025","1,122","1,526","1,800","1,030",868,142,2
7,강원도,양양군,"27,860","27,860","1,157","1,722","2,137","2,147","3,400","4,862","6,143","3,732","2,212",338,10,"14,271","14,271",588,931,"1,270","1,205","1,866","2,598","3,155","1,751",846,61,0,"13,589","13,589",569,791,867,942,"1,534","2,264","2,988","1,981","1,366",277,10
8,강원도,영월군,"37,656","37,656","1,461","2,676","2,870","2,483","4,180","6,791","8,824","4,943","3,028",389,11,"19,496","19,496",768,"1,501","1,623","1,369","2,232","3,769","4,713","2,341","1,086",91,3,"18,160","18,160",693,"1,175","1,247","1,114","1,948","3,022","4,111","2,602","1,942",298,8
9,강원도,원주시,"360,752","360,752","26,249","34,926","43,340","45,387","56,595","61,654","53,039","23,319","14,061","2,127",55,"178,847","178,847","13,476","17,973","23,100","23,151","27,892","30,834","26,289","10,621","5,031",469,11,"181,905","181,905","12,773","16,953","20,240","22,236","28,703","30,820","26,750","12,698","9,030","1,658",44
10,강원도,인제군,"32,089","32,089","2,364","2,275","3,939","3,960","3,959","4,907","5,984","2,710","1,717",267,7,"17,487","17,487","1,205","1,187","2,684","2,339","2,172","2,637","3,232","1,325",639,62,5,"14,602","14,602","1,159","1,088","1,255","1,621","1,787","2,270","2,752","1,385","1,078",205,2
