연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2007,강원도,강릉시,7355,7173886,81,2376003,871,4897021,3,1020
2007,강원도,고성군,1243,3819997,12,75572,590,4118608,12,84200
2007,강원도,동해시,662,3548886,53,977013,148,1310050,0,0
2007,강원도,삼척시,1811,5943571,25,715700,529,6390686,6,202960
2007,강원도,속초시,234,1168921,7,33685,26,30166,21,328445
2007,강원도,양구군,1917,1025105,5,16350,2013,3758767,0,0
2007,강원도,양양군,663,608184,20,126149,645,4188697,3,15480
2007,강원도,영월군,888,3689977,13,139565,485,3913455,5,68300
2007,강원도,원주시,16257,40330898,128,1328500,5166,16832749,5,131400
2007,강원도,인제군,3579,4491438,5,13910,102,519207,10,8174
2007,강원도,정선군,635,1505042,22,93044,220,1340267,0,0
2007,강원도,철원군,2133,5000555,14,187001,1550,9690030,2,36000
2007,강원도,춘천시,7601,14366337,178,1423049,5326,18642303,0,0
2007,강원도,태백시,145,480291,15,46469,44,120912,0,0
2007,강원도,평창군,2726,622391,41,1440,309,22536,0,0
2007,강원도,홍천군,8109,5360265,27,236465,1359,3722678,25,621050
2007,강원도,화천군,2580,3036062,5,163025,706,2898997,15,67092
2007,강원도,횡성군,5858,8107382,49,717104,2526,7178600,6,1727
2007,경기도,가평군,5866,9817636,11,81116,940,1265446,216,516198
2007,경기도,고양시,5224,18913782,41,447036,2281,7151083,16,72270
2007,경기도,과천시,229,651324,1,1536,913,879730,8,11285
2007,경기도,광명시,1265,1534995,32,781024,226,217754,0,0
2007,경기도,광주시,8019,21678735,44,207727,366,985855,329,3600413
2007,경기도,구리시,478,396961,13,16758,414,1844189,0,0
2007,경기도,군포시,422,1213380,6,12600,201,280750,66,207720
2007,경기도,김포시,7565,27673972,100,436405,1855,4642529,16,282880
2007,경기도,남양주시,3221,8043237,107,1156600,666,1197731,69,158250
2007,경기도,동두천시,1996,3711280,116,1419790,258,417630,19,147174
2007,경기도,부천시,1027,3687176,78,458820,126,409699,0,0
2007,경기도,성남시,611,5369770,4,19540,401,1167572,6,58200
2007,경기도,수원시,3880,3352656,103,509866,736,1521976,35,27997
2007,경기도,시흥시,1161,3139248,129,932181,1939,4673511,15,0
2007,경기도,안산시,1199,1385161,58,337518,2292,5393417,1,360
2007,경기도,안성시,13624,20531423,107,1360310,11267,51366451,0,0
2007,경기도,안양시,599,1737384,43,1331322,51,59799,1,22100
2007,경기도,양주시,5375,9190315,652,3712325,4036,8582014,7,19770
2007,경기도,양평군,14116,11291348,19,137400,8463,19293991,6,43615
2007,경기도,여주시,8957,22878075,161,1781382,4452,8091415,373,238863
